file,line,src_raw,src_trimmed,type,resolved,exists,issues
SSCE/BIO/2023/QUESTIONS/2023objbio.html,1351,../IMG/NO 10/OPTION B.png,../IMG/NO 10/OPTION B.png,local,/workspace/Decipher-acad/SSCE/BIO/2023/IMG/NO 10/OPTION B.png,False,missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,2701,/4.jpg,/4.jpg,absolute-root,/workspace/Decipher-acad/4.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,2705,/3.jpg,/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,2709,/2.jpg,/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,2754,/4.jpg,/4.jpg,absolute-root,/workspace/Decipher-acad/4.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,2757,/3.jpg,/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,2760,/2.jpg,/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3199,/3.jpg,/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3204,/2.jpg,/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3248,/4.jpg,/4.jpg,absolute-root,/workspace/Decipher-acad/4.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3253,/3.jpg,/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3258,/2.jpg,/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3301,/4.jpg,/4.jpg,absolute-root,/workspace/Decipher-acad/4.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3306,/3.jpg,/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio.html,3311,/2.jpg,/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,76,"/
                    ",/,absolute-root,/workspace/Decipher-acad,True,whitespace_in_src|newline_in_src|absolute_root_path|empty_or_root_only_src
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,88,"/
        ",/,absolute-root,/workspace/Decipher-acad,True,whitespace_in_src|newline_in_src|absolute_root_path|empty_or_root_only_src
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,95,"/3.jpg
        ",/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,101,"/2.jpg
        ",/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,127,"/1.jpg
                    ",/1.jpg,absolute-root,/workspace/Decipher-acad/1.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,139,/4.jpg,/4.jpg,absolute-root,/workspace/Decipher-acad/4.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,143,/3.jpg,/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,148,/2.jpg,/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,175,"/1.jpg
                    ",/1.jpg,absolute-root,/workspace/Decipher-acad/1.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,187,"/4.jpg
        ",/4.jpg,absolute-root,/workspace/Decipher-acad/4.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,194,"/3.jpg
        ",/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,200,"/2.jpg
        ",/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,226,"/1.jpg
                    ",/1.jpg,absolute-root,/workspace/Decipher-acad/1.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,238,"/4.jpg
        ",/4.jpg,absolute-root,/workspace/Decipher-acad/4.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,245,"/3.jpg
        ",/3.jpg,absolute-root,/workspace/Decipher-acad/3.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,251,"/2.jpg
        ",/2.jpg,absolute-root,/workspace/Decipher-acad/2.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,283,"/1.jpg
                    ",/1.jpg,absolute-root,/workspace/Decipher-acad/1.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
SSCE/BIO/2023/QUESTIONS/2023objbio_original.html,330,"/1.jpg
                    ",/1.jpg,absolute-root,/workspace/Decipher-acad/1.jpg,False,whitespace_in_src|newline_in_src|absolute_root_path|missing_target
